contrast,ROC v1 (pooled),ROC v2 (per-fold),Δ ROC,PR v1 (pooled),PR v2 (per-fold),Δ PR,raw p PR v1,raw p PR v2,Holm p PR v2,Holm p PR v1
broad breach vs none,0.658,0.698,+0.041,0.919,0.936,+0.017,.034,.010,.030,—
substantive leak vs rest,0.619,0.639,+0.020,0.351,0.403,+0.052,.048,.066,.132,—
substantive leak vs appropriate,0.756,0.814,+0.058,0.867,0.911,+0.043,.002,.002,≤.012,—
limiting vs direct (all),0.703,0.724,+0.022,0.541,0.603,+0.062,.002,.002,≤.012,—
limiting vs direct (disclosers only),0.714,0.728,+0.015,0.574,0.631,+0.057,.002,.002,≤.012,—
broad-only vs substantive,0.557,0.575,+0.018,0.341,0.390,+0.049,.234,.309,.309,—
