population,limiting_contrast,leak_contrast,delta_limiting,delta_leak,difference,boot_lo,boot_hi,p_boot
analysis_216,limiting_among_disclosers,leak_vs_appropriate,0.16156935817805373,0.05701893939393943,0.10357073635859473,-0.01731051721181645,0.2195591157315244,0.04495504495504495
analysis_216,limiting_among_disclosers,substantive_leak,0.16156935817805373,0.02775537634408598,0.12998639883555904,0.022520010970618416,0.24183988383515148,0.00999000999000999
analysis_216,limiting_vs_direct,leak_vs_appropriate,0.12469345238095242,0.05701893939393943,0.06931218121206895,-0.05488261018344193,0.18100078347850912,0.14385614385614387
analysis_216,limiting_vs_direct,substantive_leak,0.12469345238095242,0.02775537634408598,0.09572784368903325,-0.009666760227549255,0.20666845492399108,0.04195804195804196
all_258,limiting_among_disclosers,leak_vs_appropriate,0.1769545748987853,0.054878676470588306,0.12175070002172277,0.026960155482839133,0.21950684903361933,0.00999000999000999
all_258,limiting_among_disclosers,substantive_leak,0.1769545748987853,0.016151260504201792,0.16021769463015884,0.06618849196458551,0.25187152313575023,0.000999000999000999
all_258,limiting_vs_direct,leak_vs_appropriate,0.1494254992319508,0.054878676470588306,0.09415439544773715,0.0005799207896409226,0.17972628537041307,0.023976023976023976
all_258,limiting_vs_direct,substantive_leak,0.1494254992319508,0.016151260504201792,0.13262139005617327,0.04395310767622065,0.22112042071996815,0.000999000999000999
