attribute,delta,n,n_pos,observed,boot_mean,ci_lo,ci_hi,p_two_sided,significant
leaked vs not (t3),acts − input,270,151,0.10256552952306752,0.10292173035981991,0.02566655833841883,0.17830190004019172,0.0092,True
leaked vs not (t3),desc − input,270,151,0.025488341031776995,0.025451537425467432,-0.06504001954131115,0.12052532738476349,0.5928,False
leaked vs not (t3),acts − desc,270,151,0.07707718849129053,0.07747019293435246,0.0011170577154139079,0.15126483971588797,0.0464,True
leaked vs approp. (t3),acts − input,234,151,0.10372616292986525,0.10450932296081873,0.015631961053102366,0.19509883659758764,0.0196,True
leaked vs approp. (t3),desc − input,234,151,0.05098539854783368,0.050808372377762215,-0.05041241615894382,0.15386208632973755,0.328,False
leaked vs approp. (t3),acts − desc,234,151,0.05274076438203157,0.05370095058305651,-0.03070661470306938,0.1375525846453596,0.216,False
refused vs appropriate,acts − input,119,36,0.29718875502008035,0.2973074128036651,0.1965492429488068,0.4034554597701149,0.0004,True
refused vs appropriate,desc − input,119,36,0.1378848728246319,0.13609441859526855,0.00574439260285295,0.26357184727808236,0.042,True
refused vs appropriate,acts − desc,119,36,0.15930388219544844,0.16121299420839655,0.08333333333333337,0.24552215189873405,0.0004,True
