attribute,side,n,pos,input_auc,input_lo,input_hi,act_auc,act_lo,act_hi,desc_auc,desc_lo,desc_hi,privileged,survival
tier (t3 vs t1/2),input,476,270,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,0.0,1.0
topic cluster (t3),input,270,221,0.9979684181364854,0.9935322759657729,1.0,0.8529873487856682,0.7897272727272727,0.9046570297149001,0.6127066211099824,0.5304783137840665,0.6929685398137978,-0.14498106935081723,0.3192936559843033
scenario length (t3),input,270,134,0.6294995610184373,0.5567374760493599,0.6911326748985327,0.9191725197541705,0.8880192234248846,0.9486336221825884,0.597892888498683,0.5289056002393288,0.6627641668653761,0.2896729587357332,0.23353842125932706
leaked vs not (t3),behavior,270,151,0.5810006121653959,0.5121824239068893,0.645239992853388,0.6835661416884634,0.6182051037869564,0.7399353234643631,0.6064889531971729,0.5378575554052851,0.6752809939501749,0.10256552952306752,0.5801121721994846
leaked vs approp. (t3),behavior,234,151,0.5471954041330886,0.47366329745538216,0.6231873035860347,0.6509215670629539,0.5763000248796352,0.7209426851588356,0.5981808026809223,0.5174225011490443,0.6781662165770279,0.10372616292986525,0.6505418979645777
refused vs appropriate,behavior,119,36,0.6224899598393574,0.5147035075039776,0.7207629791999781,0.9196787148594378,0.8670852542574965,0.9645272928448488,0.7603748326639893,0.6680847279584212,0.8429256821865009,0.29718875502008035,0.6204146730462521
response length (t3),behavior,270,132,0.5892072902942469,0.5218672410266898,0.6584232415760952,0.7188735177865613,0.6605000675467445,0.7810366155368629,0.5830039525691699,0.5169364574187884,0.6521253214925864,0.12966622749231438,0.37923250564334066
