contrast,n_pos,n_neg,auc,hanley_se,ci_lo,ci_hi,judge_err,auc_deattenuated
refused vs rest (t3),36,234,0.8898385565052231,0.03645106747166983,0.8183944642607502,0.961282648749696,0.1,0.9331539516724701
refused vs appropriate,36,83,0.9196787148594378,0.03256151925234826,0.8558581371248352,0.9834992925940403,0.1,0.9663096831771529
leaked vs refused,151,36,0.8758278145695364,0.026046300482261666,0.8247770656243035,0.9268785635147693,0.1,0.9175864606328181
leaked vs not (t3),151,119,0.6835661416884634,0.03198111628994034,0.6208831537601803,0.7462491296167465,0.1,0.7039623796538482
leaked vs approp. (t3),151,83,0.6509215670629539,0.036165769128728105,0.5800366595706468,0.721806474555261,0.1,0.6676906300699487
