layer,pos,target,n,auc
10,38,leaked_vs_not,270,0.6727141187600868
10,38,leaked_vs_approp,234,0.7235298811138594
10,38,refused_vs_rest,270,0.7511870845204179
10,39,leaked_vs_not,270,0.6420501975624686
10,39,leaked_vs_approp,234,0.7059762227718823
10,39,refused_vs_rest,270,0.7755223171889838
10,40,leaked_vs_not,270,0.6665924648004897
10,40,leaked_vs_approp,234,0.7350993377483445
10,40,refused_vs_rest,270,0.7659069325735992
10,41,leaked_vs_not,270,0.6684846123880016
10,41,leaked_vs_approp,234,0.6598579749461422
10,41,refused_vs_rest,270,0.688034188034188
10,42,leaked_vs_not,270,0.682174856697646
10,42,leaked_vs_approp,234,0.6983164445862922
10,42,refused_vs_rest,270,0.724596391263058
10,43,leaked_vs_not,270,0.697979854193333
10,43,leaked_vs_approp,234,0.7097263225085774
10,43,refused_vs_rest,270,0.6461301044634378
10,44,leaked_vs_not,270,0.5885692025154432
10,44,leaked_vs_approp,234,0.6135003590521025
10,44,refused_vs_rest,270,0.662630579297246
10,45,leaked_vs_not,270,0.6330903222216038
10,45,leaked_vs_approp,234,0.610707731588606
10,45,refused_vs_rest,270,0.7710113960113961
10,46,leaked_vs_not,270,0.6820079024987478
10,46,leaked_vs_approp,234,0.6213995053059921
10,46,refused_vs_rest,270,0.7174738841405508
10,47,leaked_vs_not,270,0.6667037675997551
10,47,leaked_vs_approp,234,0.6419053698236656
10,47,refused_vs_rest,270,0.7465574548907883
10,48,leaked_vs_not,270,0.662084701430241
10,48,leaked_vs_approp,234,0.6170908800765978
10,48,refused_vs_rest,270,0.7520180436847104
10,49,leaked_vs_not,270,0.6657020424063665
10,49,leaked_vs_approp,234,0.6217186627303917
10,49,refused_vs_rest,270,0.6983618233618234
10,50,leaked_vs_not,270,0.6540152484834995
10,50,leaked_vs_approp,234,0.5917178648368308
10,50,refused_vs_rest,270,0.7051282051282051
10,51,leaked_vs_not,270,0.6391006733819355
10,51,leaked_vs_approp,234,0.6394318997845687
10,51,refused_vs_rest,270,0.7337369420702754
10,52,leaked_vs_not,270,0.6156714341365686
10,52,leaked_vs_approp,234,0.6175696162131971
10,52,refused_vs_rest,270,0.6566951566951567
10,53,leaked_vs_not,270,0.6385441593856086
10,53,leaked_vs_approp,234,0.6498843054336552
10,53,refused_vs_rest,270,0.6995489078822412
10,54,leaked_vs_not,270,0.6493405309143525
10,54,leaked_vs_approp,234,0.6455756802042608
10,54,refused_vs_rest,270,0.7828822412155745
10,55,leaked_vs_not,270,0.6489509711169236
10,55,leaked_vs_approp,234,0.6324902258038778
10,55,refused_vs_rest,270,0.7380104463437797
10,56,leaked_vs_not,270,0.686626968668262
10,56,leaked_vs_approp,234,0.69999202106439
10,56,refused_vs_rest,270,0.7288698955365621
10,57,leaked_vs_not,270,0.6372085257944237
10,57,leaked_vs_approp,234,0.6933695045080986
10,57,refused_vs_rest,270,0.7407407407407408
10,58,leaked_vs_not,270,0.6024264010239856
10,58,leaked_vs_approp,234,0.6442990505066625
10,58,refused_vs_rest,270,0.7148622981956315
10,59,leaked_vs_not,270,0.6320885970282152
10,59,leaked_vs_approp,234,0.614617410037501
10,59,refused_vs_rest,270,0.6845916429249763
10,60,leaked_vs_not,270,0.6623629584284045
10,60,leaked_vs_approp,234,0.6881831963616053
10,60,refused_vs_rest,270,0.6720085470085471
10,61,leaked_vs_not,270,0.6914686404363071
10,61,leaked_vs_approp,234,0.662251655629139
10,61,refused_vs_rest,270,0.636633428300095
10,62,leaked_vs_not,270,0.6841783070844232
10,62,leaked_vs_approp,234,0.6202824543205937
10,62,refused_vs_rest,270,0.768755935422602
10,63,leaked_vs_not,270,0.6792809839167455
10,63,leaked_vs_approp,234,0.6718263783611267
10,63,refused_vs_rest,270,0.705721747388414
